step 1830000	, total energy: 1901529.78
step 1840000	, total energy: 1908507.67
step 1850000	, total energy: 1910135.54
step 1860000	, total energy: 1905333.53
step 1870000	, total energy: 1903952.79
step 1880000	, total energy: 1904846.76
step 1890000	, total energy: 1902725.33
step 1900000	, total energy: 1906111.77
step 1910000	, total energy: 1912776.86
step 1920000	, total energy: 1919466.49
step 1930000	, total energy: 1914402.88
step 1940000	, total energy: 1916810.90
step 1950000	, total energy: 1922971.46
step 1960000	, total energy: 1906395.11
step 1970000	, total energy: 1904253.43
step 1980000	, total energy: 1898978.63
step 1990000	, total energy: 1897758.95
step 2000000	, total energy: 1886659.93
step 2010000	, total energy: 1885374.39
step 2020000	, total energy: 1883891.70
step 2030000	, total energy: 1889585.22
step 2040000	, total energy: 1891090.78
step 2050000	, total energy: 1891153.85
step 2060000	, total energy: 1887107.43
step 2070000	, total energy: 1893037.83
step 2080000	, total energy: 1894835.82
step 2090000	, total energy: 1898952.69
step 2100000	, total energy: 1889348.06
step 2110000	, total energy: 1900476.21
step 2120000	, total energy: 1888800.42
step 2130000	, total energy: 1893624.76
step 2140000	, total energy: 1897842.19
step 2150000	, total energy: 1902426.55
step 2160000	, total energy: 1909888.17
step 2170000	, total energy: 1912065.80
step 2180000	, total energy: 1910213.86
step 2190000	, total energy: 1904959.50
step 2200000	, total energy: 1901059.35
step 2210000	, total energy: 1902724.81
step 2220000	, total energy: 1905119.25
step 2230000	, total energy: 1906176.03
step 2240000	, total energy: 1908955.71
step 2250000	, total energy: 1895714.28
step 2260000	, total energy: 1892670.96
step 2270000	, total energy: 1897024.17
step 2280000	, total energy: 1898629.18
step 2290000	, total energy: 1888059.16
step 2300000	, total energy: 1895258.98
step 2310000	, total energy: 1897930.97
step 2320000	, total energy: 1889430.80
step 2330000	, total energy: 1894970.26
step 2340000	, total energy: 1897827.93
step 2350000	, total energy: 1901546.17
step 2360000	, total energy: 1898052.76
step 2370000	, total energy: 1901529.43
step 2380000	, total energy: 1911399.29
step 2390000	, total energy: 1912210.93
step 2400000	, total energy: 1915752.93
step 2410000	, total energy: 1923252.23
step 2420000	, total energy: 1913013.54
step 2430000	, total energy: 1915723.05
step 2440000	, total energy: 1917262.16
step 2450000	, total energy: 1917223.60
step 2460000	, total energy: 1920385.61
step 2470000	, total energy: 1915771.49
step 2480000	, total energy: 1918189.49
step 2490000	, total energy: 1908557.78
step 2500000	, total energy: 1909173.87
step 2510000	, total energy: 1900827.22
step 2520000	, total energy: 1905080.50
step 2530000	, total energy: 1902109.21
step 2540000	, total energy: 1910529.62
step 2550000	, total energy: 1905565.15
step 2560000	, total energy: 1911231.33
step 2570000	, total energy: 1909297.88
step 2580000	, total energy: 1908030.93
step 2590000	, total energy: 1900184.58
step 2600000	, total energy: 1901833.37
step 2610000	, total energy: 1908972.34
step 2620000	, total energy: 1914412.81
step 2630000	, total energy: 1910648.63
step 2640000	, total energy: 1904654.14
step 2650000	, total energy: 1908498.30
step 2660000	, total energy: 1904789.69
step 2670000	, total energy: 1903964.55
step 2680000	, total energy: 1905705.33
step 2690000	, total energy: 1907114.23
step 2700000	, total energy: 1907683.16
step 2710000	, total energy: 1906847.51
step 2720000	, total energy: 1915170.34
step 2730000	, total energy: 1913329.97
step 2740000	, total energy: 1915006.64
step 2750000	, total energy: 1912346.74
step 2760000	, total energy: 1902092.66
step 2770000	, total energy: 1895865.61
step 2780000	, total energy: 1891903.51
step 2790000	, total energy: 1897212.20
step 2800000	, total energy: 1911970.44
step 2810000	, total energy: 1914127.90
